objectid,parentid,object_location,image_small,image_thumb,title,Location,member of,creator,date,image description,object_transcript,subject,source,original,type,format,display_template,Publisher,Pages,Shelf Locator,OCLC Number,identifier,description,FHL Connection,language,rightsstatement,rights,latitude,longitude
qr21,qr18,/objects/oakleafchart01.png,/objects/small/oakleafchart01_sm.jpg,/objects/thumbs/oakleafchart01_th.jpg,White Oak Leaf Chart,,Graceanna Lewis Leaf Charts,"Lewis, Graceanna",1850/1912,Poster detailing oak leaves,,,Swarthmore College Friends Historical Library,text,Image;StillImage,image/png,image,,,"Lewis-Fussel Family Papers, SFHL-RG5-087",,A00185904_6,,,English,http://rightsstatements.org/page/NoC-US/1.0/,No Copyright-United States,,
qr22,qr18,/objects/oakimage01.png,/objects/small/oakimage01_sm.jpg,/objects/thumbs/oakimage01_th.jpg,White oak illustration,,Friends Historical Library of Swarthmore College,"Palmer, Samuel Copeland",1951,A sketch of a White Oak leaves illustrated by Professor Samuel Palmer (1874-1964) as part of a collection of watercolors gifted to the College in 1952.,,,Department of Biology Bone Room,image,Image;StillImage,image/png,image,,,,,,,,,,,,
qr23,,/objects/franklinia01.png,/objects/small/franklinia01_sm.jpg,/objects/thumbs/franklinia01_th.jpg,Franklinia (Monadelphia Polyandria),Sproul Hall,,,,,,Humphrey Marshall; Book; Franklinia; Botanical illustration; Samuel Copeland Palmer,,,record,compound_object,compound_object,,,,,,"Franklinia is obviously named for a very famous non-Quaker but was called so in honor of John Bartram's good friend, Benjamin Franklin, by William Bartram. The Bartrams, father and son, contributed greatly to the Quaker consideration of nature sustainability. John and William lived in Philadelphia but both traveled and collected plants and seeds, which John used to create his famous garden. They benefited from connections all around the Atlantic world, including with Peter Collinson and his son Michael of London, where as both botanists and merchants, they could arrange for the trade and shipping of plants and seeds to and from the Bartrams. Franklinia is in the tea family. William Bartram first observed it in Georgia in October 1765 and returned several times to that same spot on collecting trips funded by John Fothergill. William brought seeds to Philadelphia in 1777 and spent years studying the tree. ","Bartram manuscript letters, loads of books about the Bartrams",,,,39.9037022,-75.3550613
qr24,qr23,/objects/frankliniamarshallbook01.png,/objects/small/frankliniamarshallbook01_sm.jpg,/objects/thumbs/frankliniamarshallbook01_th.jpg,Humphrey Marshall Book: Franklinia Pt. 1,,Humphrey Marshall Book,"Marshall, Humphry, 1722-1801",1785,"Arbustrum Americanum: the American grove: or, An alphabetical catalogue of forest trees and shrubs, natives of the American United States, arranged according to the Linnaean system ... Containing, the particular distinguishing characters of each genus, with plain, simple and familiar descriptions of the manner of growth, appearance, &c. of their several species and varieties. Also, some hints of their uses in medicine, dyes, and domestic oeconomy. Compiled from actual knowledge and observation, and the assistance of botanical authors",/objects/trans/franklinia_transcript01.md,,Swarthmore College Friends Historical Library,"xx, 174 p. ; 21 cm Rebound in brown half-leather",Image;StillImage,image/png,image,Philadelphia: Joseph Crukshank,48 & 49,BX7615.M391 A7,BRO5004778178,,,,English,http://rightsstatements.org/page/NoC-US/1.0/,No Copyright-United States,,
qr25,qr23,/objects/frankliniamarshallbook02.png,/objects/small/frankliniamarshallbook02_sm.jpg,/objects/thumbs/frankliniamarshallbook02_th.jpg,Humphrey Marshall Book: Franklinia Pt. 2,,Humphrey Marshall Book,"Marshall, Humphry, 1722-1801",1785,"Arbustrum Americanum: the American grove: or, An alphabetical catalogue of forest trees and shrubs, natives of the American United States, arranged according to the Linnaean system ... Containing, the particular distinguishing characters of each genus, with plain, simple and familiar descriptions of the manner of growth, appearance, &c. of their several species and varieties. Also, some hints of their uses in medicine, dyes, and domestic oeconomy. Compiled from actual knowledge and observation, and the assistance of botanical authors",/objects/trans/franklinia_transcript02.md,,Swarthmore College Friends Historical Library,"xx, 174 p. ; 21 cm Rebound in brown half-leather",Image;StillImage,image/png,image,Philadelphia: Joseph Crukshank,50,BX7615.M391 A7,BRO5004778178,,,,English,http://rightsstatements.org/page/NoC-US/1.0/,No Copyright-United States,,
qr26,qr23,/objects/franklinia01.png,/objects/small/franklinia01_sm.jpg,/objects/thumbs/franklinia01_th.jpg,Franklinia illustration,,Friends Historical Library of Swarthmore College,"Palmer, Samuel Copeland",1951,A sketch of a Franklinia flower on a branch  illustrated by Professor Samuel Palmer (1874-1964) as part of a collection of watercolors gifted to the College in 1952.,,,Department of Biology Bone Room,image,Image;StillImage,image/png,image,,,,,,,,English,http://rightsstatements.org/page/NoC-US/1.0/ ,No Copyright-United States,,
qr27,,/objects/roseimage01.png,/objects/small/roseimage01_sm.jpg,/objects/thumbs/roseimage01_th.jpg,Roses (Rosa),Rose Garden,,,,,,Botanical illustration; Flowers in art; Roses; Women artists; Rose garden; Dean Bond; Historical records; Maps; Dean Bond Rose Garden,,,record,compound_object,compound_object,,,,,,"Elizabeth Powell Bond was the first Dean of Women at Swarthmore College, a position she held from 1890 to 1906. A birthright Quaker and lifelong member of the Society of Friends, she played an important role in the development of coeducation at the College. She was born in New York state in 1841 and attended the State Normal School in Albany, then became an instructor in calisthenics at Vassar. In 1886, Swarthmore College appointed Bond Matron of the College and, four years later, she was named Dean, a position she held for 20 years. During that time, she was a member of Swarthmore Monthly Meeting. Dean Bond was an avid gardener, and when the old tennis courts were removed from this spot, the rose garden was established in her honor.","Elizabeth Powell Bond Papers, RG5-014",,,,39.9055931,-75.35347594
qr28,qr27,/objects/roseimage01.png,/objects/small/roseimage01_sm.jpg,/objects/thumbs/roseimage01_th.jpg,Roses illustration,,Lewis-Fussell Family Papers In Her Own Right,"Lewis, Graceanna",1850/1912,"Illustration of Roses, most likely by Graceanna Lewis",,,Swarthmore College Friends Historical Library,image,Image;StillImage,image/png,image,,,"Lewis-Fussel Family Papers, SFHL-RG5-087",,A00185697,,,English,http://rightsstatements.org/page/NoC-US/1.0/,No Copyright - United States,,
qr29,qr27,/objects/rosegardenoutside01.png,/objects/small/rosegardenoutside01_sm.jpg,/objects/thumbs/rosegardenoutside01_th.jpg,Dean Bond Rose Garden Pamphlet Side 1,,Swarthmore College Archives,Scott Arboretum,~1979/1984,Pamphlet detailing information about roses and the history of the Dean Bond Rose Garden.,/objects/trans/rose_transcript01.md,,Swarthmore College Archives,printed image/text,Image;StillImage,image/png,image,,,"RG 6/S-001 Swarthmore College Archives, Scott Arboretum",,Box 27,,,English,http://rightsstatements.org/page/NoC-US/1.0/,No Copyright - United States,,
qr30,qr27,/objects/rosegardeninside01.png,/objects/small/rosegardeninside01_sm.jpg,/objects/thumbs/rosegardeninside01_th.jpg,Dean Bond Rose Garden Pamphlet Side 2,,Swarthmore College Archives,Scott Arboretum,~1979/1984,Pamphlet detailing information about roses and the history of the Dean Bond Rose Garden.,/objects/trans/rose_transcript02.md,,Swarthmore College Archives,printed image/text,Image;StillImage,image/png,image,,,"RG 6/S-001 Swarthmore College Archives, Scott Arboretum",,Box 27,,,English,http://rightsstatements.org/page/NoC-US/1.0/,No Copyright - United States,,
