objectid,parentid,object_location,image_small,image_thumb,title,Location,member of,creator,date,image description,object_transcript,subject,source,original,type,format,display_template,Publisher,Pages,Shelf Locator,OCLC Number,identifier,description,FHL Connection,language,rightsstatement,rights,latitude,longitude
qr41,qr39,/objects/priscillawakefield01.png,/objects/small/priscillawakefield01_sm.jpg,/objects/thumbs/priscillawakefield01_th.jpg,Introduction to Botany: Priscilla Wakefield ,,Priscilla Wakefield ,"Wakefield, Priscilla ",1798,Introduction to Botany written by Priscilla Wakefield,/objects/trans/wakefield_transcript01.md,,Swarthmore College Friends Historical Library,image,Image;StillImage,image/png,image,"London : printed for E. Newbery, St. Paul's Church-Yard; Darton and Harvey, Gracechurch-Street; and Vernor and Hood, Poultry",,,,OCLC: (OCoLC)642762395,,,English,http://rightsstatements.org/page/NoC-US/1.0/,No Copyright-United States,,
qr42,qr39,/objects/priscillawakefield02.png,/objects/small/priscillawakefield02_sm.jpg,/objects/thumbs/priscillawakefield02_th.jpg,Priscilla Wakefield Book: Viburnum,,Priscilla Wakefield ,"Wakefield, Priscilla ",1798,A page from the book an Introduction to Botany written by Pricilla Wakefield detailing the plant Viburmum. ,/objects/trans/wakefield_transcript01.md,,Swarthmore College Friends Historical Library,image,Image;StillImage,image/png,image,"London : printed for E. Newbery, St. Paul's Church-Yard; Darton and Harvey, Gracechurch-Street; and Vernor and Hood, Poultry",,,,OCLC: (OCoLC)642762395,,,English,http://rightsstatements.org/page/NoC-US/1.0/,No Copyright-United States,,
qr43,qr39,/objects/viburnummarshall01.png,/objects/small/viburnummarshall01_sm.jpg,/objects/thumbs/viburnummarshall01_th.jpg,Humphrey Marshall Book: Viburnum,,Humphrey Marshall Book,"Marshall, Humphry, 1722-1801",1785,"Arbustrum Americanum: the American grove: or, An alphabetical catalogue of forest trees and shrubs, natives of the American United States, arranged according to the Linnaean system ... Containing, the particular distinguishing characters of each genus, with plain, simple and familiar descriptions of the manner of growth, appearance, &c. of their several species and varieties. Also, some hints of their uses in medicine, dyes, and domestic oeconomy. Compiled from actual knowledge and observation, and the assistance of botanical authors",/objects/trans/viburnum_transcript01.md,,Swarthmore College Friends Historical Library,"xx, 174 p. ; 21 cm Rebound in brown half-leather",Image;StillImage,image/png,image,Philadelphia: Joseph Crukshank,160,BX7615.M391 A7,BRO5004778178,,,,English,http://rightsstatements.org/page/NoC-US/1.0/,No Copyright-United States,,
qr44,,/objects/persimmon01.png,/objects/small/persimmon01_sm.jpg,/objects/thumbs/persimmon01_th.jpg,Common Persimmon (Diospyros virginiana),Singer Hall,,,,,,Botanical illustration;  Samuel Copeland Palmer; Humphrey Marshall; Book; Persimmon ,,,record,compound_object,compound_object,"Marshall, Humphry. Arbustrum Americanum: The American Grove… Philadelphia: Joseph Crukshank.",,,,,"Humphry Marshall appears on this tour again, and this time for his excellent description of persimmons. Marshall wrote that the persimmon tree 'grows naturally in most clayey ground in Pennsylvania and Maryland, as well as Virginia... A full grown tree will yield a bushel or two of fruit, which upon distillation will afford as many gallons of spirits, allowed to be equal in taste and flavor to West India Rum. Our countrymen have not enough attended to this, but in some places, they brew of them a very good beer'. (Citation: Marshall, H. (1785). Arbustrum Americanum: the American grove: or, An alphabetical catalogue of forest trees and shrubs, natives of the American United States... Joseph Crukshank. p. 41)",Humphry Marshall,,,,39.90831434,-75.35392575
qr45,qr44,/objects/persimmon01.png,/objects/small/persimmon01_sm.jpg,/objects/thumbs/persimmon01_th.jpg,Persimmon Illustration,,Friends Historical Library of Swarthmore College,"Palmer, Samuel Copeland",1951,A sketch of a branch from a Persimmon tree illustrated by Professor Samuel Palmer (1874-1964) as part of a collection of watercolors gifted to the College in 1952.,,,Department of Biology Bone Room,image,Image;StillImage,image/png,image,,,,,,,,English,http://rightsstatements.org/page/NoC-US/1.0/,No Copyright-United States,,
qr46,qr44,/objects/persimmon02.png,/objects/small/persimmon02_sm.jpg,/objects/thumbs/persimmon02_th.jpg,Persimmon Sketch ,,Friends Historical Library of Swarthmore College,"Palmer, Samuel Copeland",1951,A second sketch of a Persimmon tree with yellow flowers and buds illustrated by Professor Samuel Palmer (1874-1964) as part of a collection of watercolors gifted to the College in 1952.,,,Department of Biology Bone Room,image,Image;StillImage,image/png,image,,,,,,,,English,http://rightsstatements.org/page/NoC-US/1.0/,No Copyright-United States,,
qr47,qr44,/objects/persimmonmarshallbook01.png,/objects/small/persimmonmarshallbook01_sm.jpg,/objects/thumbs/persimmonmarshallbook01_th.jpg,Humphrey Marshall Book: Persimmon,,Humphrey Marshall Book,"Marshall, Humphrey, 1722/1801",1785,"Arbustrum Americanum: the American grove: or, An alphabetical catalogue of forest trees and shrubs, natives of the American United States, arranged according to the Linnaean system ... Containing, the particular distinguishing characters of each genus, with plain, simple and familiar descriptions of the manner of growth, appearance, &c. of their several species and varieties. Also, some hints of their uses in medicine, dyes, and domestic oeconomy. Compiled from actual knowledge and observation, and the assistance of botanical authors",/objects/trans/persimmon_transcript01.md,,Swarthmore College Friends Historical Library,"xx, 174 p. ; 21 cm Rebound in brown half-leather",Image;StillImage,image/png,image,Philadelphia: Joseph Crukshank,40 & 41,BX7615.M391 A7,BRO5004778178,,,,English,http://rightsstatements.org/page/NoC-US/1.0/ ,No Copyright-United States,,
qr48,,/objects/scottfounding01.png,/objects/small/scottfounding01_sm.jpg,/objects/thumbs/scottfounding01_th.jpg,Scott Arboretum Founding,Wister Center,,,,,,Historical records; Botanical illustration; Swarthmore College Scott Arboretum; Scott Arboretum Founding; Gardens,,,record,compound_object,compound_object,,,,,,"The Scott Arboretum & Gardens is named for Arthur Hoyt Scott, a member of the Class of 1895 and second president of Scott Paper Company, whose family established a horticultural foundation in his name in 1929. Encompassing more than 300 acres of Swarthmore's campus and exhibiting more than 4,000 kinds of ornamental plants, the Arboretum displays some of the best trees, shrubs, vines, and perennials for use in the region. The arboretum was contructed around the campus architcture and in 1915, Hoyt Scott planted 100 lilacs to beautify the Swarthmore Campus. According the the book, ""The Scott Arboretum of Swarthmore College: The first 75 years"" by Ben Yagoda, there was resistence from the college administration to the project. The aboretum under its many directors has the mission, initially conceived by Scott, to educate the public and college community. ",Arthur Hoyt Scott,,,,39.90613301,-75.35200294
qr49,qr48,/objects/scottfounding01.png,/objects/small/scottfounding01_sm.jpg,/objects/thumbs/scottfounding01_th.jpg,Introduction page,,Friends Historical Library of Swarthmore College,Barbara Seymour,1987,Illustration of the Scott Arboretum done by Barbara Seymour '63  in 1987 ,,,Swarthmore College Friends Historical Library,image,Image;StillImage,image/png,image,,,SFHL-RG6-S001,,Box 27,,,,,,,
qr50,qr48,/objects/scottfounding02.png,/objects/small/scottfounding02_sm.jpg,/objects/thumbs/scottfounding02_th.jpg,Membership page,,Friends Historical Library of Swarthmore College,B. Morehouse,1979-12-7,Illustration of the Scott Arboretum done by B. Morehouse  in 1979 ,,,Swarthmore College Friends Historical Library,image,Image;StillImage,image/png,image,,,SFHL-RG6-S001 Box 27,,Box 27,,,,,,,
qr51,qr48,/objects/scottfounding03.png,/objects/small/scottfounding03_sm.jpg,/objects/thumbs/scottfounding03_th.jpg,Photo of Mrs.Scott,,Friends Historical Library of Swarthmore College,Ben Yagoda,1930,"Photo of Edith Wilder Scott, the widow of Arthur Scott, wields a shovel at the planting of lilacs in 1930.",,,Swarthmore College Friends Historical Library,176 p. : ill. (some col.) ; 29 cm.,Image;StillImage,image/png,image,"Virginia Beach, VA : The Donning Company Publishers",49,QK480.U52 S368 2003,51460791,LC: 2003041034 ISBN: 1578642078,,,English,http://rightsstatements.org/page/NoC-US/1.0/,No Copyright-United States,,
